Session_ID,Purchase_Probability,Revenue,PageValues,Month,VisitorType,TrafficType,Region,Purchase_Probability_Clean,Cluster,Cluster_Name
3942,99.02%,True,98.13692308,May,New_Visitor,4,6,0.9902,0,VIP/Ready to Buy
9891,99.01%,True,103.0610827,Dec,Other,20,9,0.9901000000000001,0,VIP/Ready to Buy
7164,99.00%,True,78.56959864,Sep,New_Visitor,2,5,0.99,0,VIP/Ready to Buy
3839,98.99%,True,115.98,May,New_Visitor,2,6,0.9899,0,VIP/Ready to Buy
2362,98.99%,True,86.388,May,New_Visitor,2,6,0.9899,0,VIP/Ready to Buy
6347,98.98%,True,83.93274289,Sep,New_Visitor,2,2,0.9898,0,VIP/Ready to Buy
9190,98.95%,True,128.8278691,Dec,New_Visitor,2,5,0.9895,0,VIP/Ready to Buy
4460,98.93%,True,91.246,May,New_Visitor,3,1,0.9893000000000001,0,VIP/Ready to Buy
6421,98.91%,True,92.9041786,Oct,New_Visitor,2,1,0.9891,0,VIP/Ready to Buy
4296,98.90%,True,54.97036364,May,New_Visitor,2,4,0.9890000000000001,0,VIP/Ready to Buy
2432,98.90%,True,49.62545455,May,New_Visitor,2,5,0.9890000000000001,0,VIP/Ready to Buy
2082,98.88%,True,46.00643478,May,New_Visitor,4,4,0.9887999999999999,0,VIP/Ready to Buy
4230,98.88%,True,72.30208696,May,New_Visitor,4,1,0.9887999999999999,0,VIP/Ready to Buy
12110,98.87%,True,81.02729581,Nov,New_Visitor,8,1,0.9887,0,VIP/Ready to Buy
3946,98.87%,True,53.988,May,New_Visitor,2,1,0.9887,0,VIP/Ready to Buy
3719,98.83%,True,59.988,May,New_Visitor,2,1,0.9883,0,VIP/Ready to Buy
10932,98.83%,True,140.6621366,Dec,New_Visitor,11,1,0.9883,0,VIP/Ready to Buy
9941,98.83%,True,76.7910465,Nov,New_Visitor,3,1,0.9883,0,VIP/Ready to Buy
11041,98.82%,True,45.4642609,Nov,New_Visitor,8,9,0.9882,0,VIP/Ready to Buy
5943,98.79%,True,63.45892077,Oct,New_Visitor,4,3,0.9879000000000001,0,VIP/Ready to Buy
453,98.79%,True,61.9395,Mar,New_Visitor,2,1,0.9879000000000001,0,VIP/Ready to Buy
11087,98.78%,True,151.5650523,Nov,New_Visitor,8,5,0.9878,0,VIP/Ready to Buy
6357,98.75%,True,124.9045858,Nov,New_Visitor,20,9,0.9875,0,VIP/Ready to Buy
8077,98.71%,True,62.76294758,Nov,New_Visitor,2,1,0.9871,0,VIP/Ready to Buy
11987,98.71%,True,226.6777017,Dec,Other,20,9,0.9871,0,VIP/Ready to Buy
11996,98.70%,True,116.3378652,Dec,Other,20,9,0.987,0,VIP/Ready to Buy
10875,98.69%,True,47.83758971,Nov,New_Visitor,2,1,0.9869,0,VIP/Ready to Buy
3326,98.69%,True,57.58892308,May,New_Visitor,4,3,0.9869,0,VIP/Ready to Buy
11610,98.68%,True,61.07207396,Nov,New_Visitor,6,5,0.9868000000000001,0,VIP/Ready to Buy
11095,98.68%,True,52.67778465,Nov,Other,20,9,0.9868000000000001,0,VIP/Ready to Buy
2821,98.65%,True,97.98,May,New_Visitor,2,4,0.9865,0,VIP/Ready to Buy
8253,98.64%,True,77.04199767,Dec,New_Visitor,2,7,0.9864,0,VIP/Ready to Buy
10000,98.63%,True,103.1402899,Dec,New_Visitor,2,6,0.9863,0,VIP/Ready to Buy
1400,98.63%,True,74.088,Mar,New_Visitor,2,1,0.9863,0,VIP/Ready to Buy
3257,98.62%,True,58.788,May,New_Visitor,2,3,0.9862000000000001,0,VIP/Ready to Buy
5440,98.62%,True,86.33623272,Oct,New_Visitor,2,4,0.9862000000000001,0,VIP/Ready to Buy
5412,98.56%,True,54.56704868,Sep,New_Visitor,4,1,0.9856,0,VIP/Ready to Buy
11698,98.55%,True,270.7846931,Nov,New_Visitor,8,1,0.9854999999999999,0,VIP/Ready to Buy
6706,98.55%,True,75.62994948,Aug,New_Visitor,4,4,0.9854999999999999,0,VIP/Ready to Buy
7867,98.55%,True,39.6497508,Oct,New_Visitor,2,6,0.9854999999999999,0,VIP/Ready to Buy
8648,98.55%,True,47.99199256,Nov,New_Visitor,2,4,0.9854999999999999,0,VIP/Ready to Buy
196,98.55%,True,109.176,Mar,New_Visitor,2,9,0.9854999999999999,0,VIP/Ready to Buy
7384,98.55%,True,54.20146753,Nov,New_Visitor,2,1,0.9854999999999999,0,VIP/Ready to Buy
2254,98.54%,True,31.1904,May,New_Visitor,4,1,0.9854,0,VIP/Ready to Buy
3491,98.53%,True,53.988,May,New_Visitor,4,1,0.9853000000000001,0,VIP/Ready to Buy
10400,98.52%,True,57.82473775,Nov,New_Visitor,2,1,0.9852,0,VIP/Ready to Buy
10748,98.51%,True,287.9537928,Dec,New_Visitor,2,1,0.9851000000000001,0,VIP/Ready to Buy
10185,98.50%,True,78.12165404,Dec,Other,20,9,0.985,0,VIP/Ready to Buy
3459,98.43%,True,53.988,May,New_Visitor,2,3,0.9843000000000001,0,VIP/Ready to Buy
3262,98.43%,True,124.032,May,New_Visitor,5,6,0.9843000000000001,0,VIP/Ready to Buy
4454,98.40%,True,24.73875,May,New_Visitor,2,5,0.9840000000000001,1,Returning Buyers
11967,98.39%,False,69.7132141,Nov,Other,20,9,0.9839,0,VIP/Ready to Buy
4276,98.38%,True,68.376,May,New_Visitor,2,5,0.9838,0,VIP/Ready to Buy
3990,98.37%,True,53.47457143,May,New_Visitor,2,1,0.9837,0,VIP/Ready to Buy
9811,98.35%,True,57.3158913,Nov,New_Visitor,8,1,0.9834999999999999,0,VIP/Ready to Buy
889,98.34%,True,63.588,Mar,New_Visitor,2,1,0.9834,0,VIP/Ready to Buy
9336,98.31%,True,44.20382094,Nov,New_Visitor,8,3,0.9831,0,VIP/Ready to Buy
4720,98.31%,True,36.256,May,New_Visitor,2,5,0.9831,0,VIP/Ready to Buy
8796,98.27%,True,68.1974018,Dec,New_Visitor,2,2,0.9826999999999999,0,VIP/Ready to Buy
8880,98.27%,True,41.67536194,Nov,New_Visitor,3,1,0.9826999999999999,0,VIP/Ready to Buy
11805,98.26%,True,34.14841957,Dec,New_Visitor,2,7,0.9826,0,VIP/Ready to Buy
11075,98.25%,True,93.77761706,Dec,New_Visitor,2,1,0.9825,0,VIP/Ready to Buy
7000,98.23%,True,42.29306752,Nov,New_Visitor,2,1,0.9823000000000001,0,VIP/Ready to Buy
4589,98.22%,True,23.988,May,New_Visitor,2,6,0.9822,1,Returning Buyers
3891,98.22%,True,40.43377778,May,New_Visitor,4,1,0.9822,0,VIP/Ready to Buy
4961,98.20%,True,51.60705882,May,New_Visitor,2,4,0.982,0,VIP/Ready to Buy
2875,98.20%,True,43.252,May,New_Visitor,2,1,0.982,0,VIP/Ready to Buy
8528,98.15%,True,125.961749,Dec,New_Visitor,2,1,0.9815,0,VIP/Ready to Buy
10931,98.14%,True,89.2954867,Dec,New_Visitor,8,4,0.9814,0,VIP/Ready to Buy
8246,98.14%,True,54.38258659,Dec,New_Visitor,2,7,0.9814,0,VIP/Ready to Buy
10079,98.13%,True,61.58171224,Nov,New_Visitor,7,1,0.9813,0,VIP/Ready to Buy
4923,98.12%,True,30.87724138,May,New_Visitor,2,2,0.9812000000000001,0,VIP/Ready to Buy
2717,98.11%,True,31.40784,May,New_Visitor,5,3,0.9811,0,VIP/Ready to Buy
9592,98.11%,True,59.75418351,Dec,New_Visitor,8,2,0.9811,0,VIP/Ready to Buy
11983,98.10%,True,42.83887416,Nov,New_Visitor,2,2,0.981,0,VIP/Ready to Buy
4009,98.09%,True,173.4697917,May,New_Visitor,2,9,0.9809,0,VIP/Ready to Buy
7128,98.09%,True,46.84856664,Aug,New_Visitor,2,2,0.9809,0,VIP/Ready to Buy
747,98.08%,True,31.3094364,Mar,New_Visitor,2,1,0.9808,0,VIP/Ready to Buy
8127,98.08%,True,40.4014481,Dec,New_Visitor,6,1,0.9808,0,VIP/Ready to Buy
3756,98.07%,False,64.33043478,May,New_Visitor,3,9,0.9806999999999999,0,VIP/Ready to Buy
10708,98.05%,True,60.26309658,Dec,New_Visitor,20,1,0.9804999999999999,0,VIP/Ready to Buy
5407,98.03%,True,51.03362522,Oct,New_Visitor,2,5,0.9803000000000001,0,VIP/Ready to Buy
7104,98.03%,True,36.33496365,June,New_Visitor,2,1,0.9803000000000001,0,VIP/Ready to Buy
11751,98.03%,True,57.5907585,Nov,New_Visitor,2,1,0.9803000000000001,0,VIP/Ready to Buy
600,98.01%,True,53.13428571,Mar,New_Visitor,8,2,0.9801000000000001,0,VIP/Ready to Buy
11496,98.00%,True,38.3399435,Dec,New_Visitor,20,9,0.98,0,VIP/Ready to Buy
1530,97.98%,True,49.82333333,Mar,New_Visitor,1,4,0.9798,0,VIP/Ready to Buy
4214,97.96%,True,25.109,May,New_Visitor,2,1,0.9795999999999999,1,Returning Buyers
9956,97.95%,True,115.7819471,Nov,New_Visitor,2,3,0.9795,0,VIP/Ready to Buy
8164,97.93%,True,109.1211555,Dec,New_Visitor,2,3,0.9793000000000001,0,VIP/Ready to Buy
4956,97.92%,True,22.738,May,New_Visitor,2,6,0.9792000000000001,1,Returning Buyers
10249,97.88%,True,34.97250838,Nov,New_Visitor,2,1,0.9788,0,VIP/Ready to Buy
2749,97.88%,True,29.848,May,New_Visitor,4,1,0.9788,0,VIP/Ready to Buy
10548,97.86%,True,23.30000662,Dec,New_Visitor,2,8,0.9786,1,Returning Buyers
3898,97.84%,True,21.588,May,New_Visitor,4,9,0.9784,1,Returning Buyers
6228,97.83%,True,60.04472938,Sep,New_Visitor,2,4,0.9783,0,VIP/Ready to Buy
11594,97.81%,True,63.93506419,Dec,New_Visitor,2,4,0.9781,0,VIP/Ready to Buy
4186,97.80%,True,53.988,May,New_Visitor,2,9,0.978,0,VIP/Ready to Buy
5465,97.79%,True,14.00979215,Oct,New_Visitor,2,9,0.9779000000000001,1,Returning Buyers
6533,97.78%,True,104.2012273,Sep,Returning_Visitor,2,1,0.9778,0,VIP/Ready to Buy
8206,97.78%,True,52.49862029,Nov,New_Visitor,2,2,0.9778,0,VIP/Ready to Buy
9927,97.76%,True,81.334441,Dec,Other,20,9,0.9776,0,VIP/Ready to Buy
10269,97.72%,True,14.14084367,Nov,New_Visitor,6,2,0.9772,1,Returning Buyers
5767,97.65%,True,47.57898514,Oct,Returning_Visitor,2,4,0.9765,0,VIP/Ready to Buy
11333,97.64%,True,90.9285217,Nov,Returning_Visitor,2,1,0.9764,0,VIP/Ready to Buy
8156,97.63%,True,46.4748023,Nov,New_Visitor,1,3,0.9763,0,VIP/Ready to Buy
10639,97.61%,True,26.09995422,Dec,New_Visitor,2,1,0.9761,0,VIP/Ready to Buy
7192,97.61%,True,52.17313647,Oct,Returning_Visitor,3,1,0.9761,0,VIP/Ready to Buy
6975,97.60%,True,17.29676376,Oct,New_Visitor,2,5,0.976,1,Returning Buyers
3058,97.59%,True,239.98,May,Returning_Visitor,2,5,0.9759,0,VIP/Ready to Buy
4036,97.58%,True,20.60836364,May,New_Visitor,4,1,0.9758,1,Returning Buyers
6855,97.55%,True,47.32661324,Oct,New_Visitor,2,1,0.9754999999999999,0,VIP/Ready to Buy
1599,97.54%,True,81.2475,Mar,Returning_Visitor,9,2,0.9754,0,VIP/Ready to Buy
1896,97.52%,True,88.78460596,Mar,Returning_Visitor,2,1,0.9752,0,VIP/Ready to Buy
9428,97.51%,True,88.95486906,Nov,Returning_Visitor,7,1,0.9751000000000001,0,VIP/Ready to Buy
10662,97.51%,True,45.9675105,Dec,New_Visitor,2,4,0.9751000000000001,0,VIP/Ready to Buy
4706,97.51%,True,23.235,May,New_Visitor,5,1,0.9751000000000001,1,Returning Buyers
10730,97.49%,True,97.19657367,Nov,Returning_Visitor,10,1,0.9749,0,VIP/Ready to Buy
279,97.49%,True,53.9892,Mar,Returning_Visitor,11,1,0.9749,0,VIP/Ready to Buy
8843,97.48%,True,17.50632106,Nov,New_Visitor,2,6,0.9748,1,Returning Buyers
7340,97.47%,True,23.00459544,Jul,New_Visitor,4,1,0.9747,1,Returning Buyers
846,97.46%,True,25.188,Mar,New_Visitor,8,1,0.9745999999999999,1,Returning Buyers
8575,97.42%,True,34.15414773,Nov,Returning_Visitor,7,2,0.9742000000000001,0,VIP/Ready to Buy
7430,97.38%,True,19.47465798,Nov,New_Visitor,2,1,0.9738,1,Returning Buyers
4087,97.38%,True,70.01826316,May,Returning_Visitor,2,1,0.9738,0,VIP/Ready to Buy
628,97.36%,True,57.7293604,Mar,Returning_Visitor,2,3,0.9736,0,VIP/Ready to Buy
4121,97.36%,True,62.07882353,May,Returning_Visitor,6,1,0.9736,0,VIP/Ready to Buy
2042,97.30%,True,54.98,May,Returning_Visitor,4,4,0.973,0,VIP/Ready to Buy
3738,97.30%,True,72.788,May,New_Visitor,3,1,0.973,0,VIP/Ready to Buy
9697,97.27%,True,62.93549178,Nov,Returning_Visitor,10,1,0.9727,0,VIP/Ready to Buy
6314,97.24%,True,83.80837784,Oct,New_Visitor,2,6,0.9723999999999999,0,VIP/Ready to Buy
11048,97.21%,True,60.622383,Nov,New_Visitor,8,1,0.9721,0,VIP/Ready to Buy
5989,97.19%,True,40.27815244,Oct,Returning_Visitor,20,2,0.9719,0,VIP/Ready to Buy
7625,97.18%,True,36.13790493,June,New_Visitor,5,1,0.9718000000000001,0,VIP/Ready to Buy
4067,97.18%,True,44.388,May,Returning_Visitor,2,3,0.9718000000000001,0,VIP/Ready to Buy
204,97.14%,True,33.79956701,Mar,New_Visitor,3,2,0.9714,0,VIP/Ready to Buy
7793,97.13%,True,24.61778468,Nov,New_Visitor,5,7,0.9712999999999999,1,Returning Buyers
938,97.13%,True,35.8370931,Mar,Returning_Visitor,10,4,0.9712999999999999,0,VIP/Ready to Buy
8057,97.11%,True,50.51764193,Nov,New_Visitor,2,2,0.9711,0,VIP/Ready to Buy
7281,97.11%,True,58.37208988,Nov,Returning_Visitor,20,4,0.9711,0,VIP/Ready to Buy
8674,97.10%,True,59.21256014,Nov,Returning_Visitor,6,3,0.971,0,VIP/Ready to Buy
1022,97.08%,True,64.7325,Mar,New_Visitor,2,1,0.9708,0,VIP/Ready to Buy
7224,97.08%,True,38.06520001,Aug,New_Visitor,5,1,0.9708,0,VIP/Ready to Buy
8042,97.04%,True,56.5802171,Nov,Returning_Visitor,11,2,0.9704,0,VIP/Ready to Buy
5423,97.02%,True,60.43737784,Nov,New_Visitor,3,1,0.9702,0,VIP/Ready to Buy
3952,97.02%,True,107.94,May,New_Visitor,4,6,0.9702,0,VIP/Ready to Buy
10552,97.00%,True,119.8943327,Nov,Returning_Visitor,2,6,0.97,0,VIP/Ready to Buy
11198,97.00%,True,42.422531,Dec,Returning_Visitor,10,6,0.97,0,VIP/Ready to Buy
1194,96.99%,True,77.96,Mar,Returning_Visitor,2,9,0.9699,0,VIP/Ready to Buy
7492,96.99%,True,37.96905976,Aug,New_Visitor,5,1,0.9699,0,VIP/Ready to Buy
4240,96.98%,True,55.8486,May,New_Visitor,5,1,0.9698,0,VIP/Ready to Buy
1306,96.96%,True,92.4822063,Mar,Returning_Visitor,2,7,0.9695999999999999,0,VIP/Ready to Buy
3644,96.95%,True,14.98333333,May,New_Visitor,2,2,0.9695,1,Returning Buyers
5302,96.94%,True,24.50485714,May,New_Visitor,6,2,0.9693999999999999,1,Returning Buyers
7997,96.94%,True,94.19490268,Nov,Returning_Visitor,11,3,0.9693999999999999,0,VIP/Ready to Buy
5882,96.93%,True,79.44353446,Jul,New_Visitor,2,5,0.9693,0,VIP/Ready to Buy
11858,96.92%,True,92.9394993,Nov,Returning_Visitor,11,3,0.9692000000000001,0,VIP/Ready to Buy
3682,96.91%,True,92.83857143,May,Returning_Visitor,5,1,0.9691,0,VIP/Ready to Buy
