Session_ID,Purchase_Probability,Revenue,PageValues,Month,VisitorType,TrafficType,Region
3942,99.02%,True,98.13692308,May,New_Visitor,4,6
9891,99.01%,True,103.0610827,Dec,Other,20,9
7164,99.00%,True,78.56959864,Sep,New_Visitor,2,5
3839,98.99%,True,115.98,May,New_Visitor,2,6
2362,98.99%,True,86.388,May,New_Visitor,2,6
6347,98.98%,True,83.93274289,Sep,New_Visitor,2,2
9190,98.95%,True,128.8278691,Dec,New_Visitor,2,5
4460,98.93%,True,91.246,May,New_Visitor,3,1
6421,98.91%,True,92.9041786,Oct,New_Visitor,2,1
4296,98.90%,True,54.97036364,May,New_Visitor,2,4
2432,98.90%,True,49.62545455,May,New_Visitor,2,5
2082,98.88%,True,46.00643478,May,New_Visitor,4,4
4230,98.88%,True,72.30208696,May,New_Visitor,4,1
12110,98.87%,True,81.02729581,Nov,New_Visitor,8,1
3946,98.87%,True,53.988,May,New_Visitor,2,1
3719,98.83%,True,59.988,May,New_Visitor,2,1
10932,98.83%,True,140.6621366,Dec,New_Visitor,11,1
9941,98.83%,True,76.7910465,Nov,New_Visitor,3,1
11041,98.82%,True,45.4642609,Nov,New_Visitor,8,9
5943,98.79%,True,63.45892077,Oct,New_Visitor,4,3
453,98.79%,True,61.9395,Mar,New_Visitor,2,1
11087,98.78%,True,151.5650523,Nov,New_Visitor,8,5
6357,98.75%,True,124.9045858,Nov,New_Visitor,20,9
8077,98.71%,True,62.76294758,Nov,New_Visitor,2,1
11987,98.71%,True,226.6777017,Dec,Other,20,9
11996,98.70%,True,116.3378652,Dec,Other,20,9
10875,98.69%,True,47.83758971,Nov,New_Visitor,2,1
3326,98.69%,True,57.58892308,May,New_Visitor,4,3
11610,98.68%,True,61.07207396,Nov,New_Visitor,6,5
11095,98.68%,True,52.67778465,Nov,Other,20,9
2821,98.65%,True,97.98,May,New_Visitor,2,4
8253,98.64%,True,77.04199767,Dec,New_Visitor,2,7
10000,98.63%,True,103.1402899,Dec,New_Visitor,2,6
1400,98.63%,True,74.088,Mar,New_Visitor,2,1
3257,98.62%,True,58.788,May,New_Visitor,2,3
5440,98.62%,True,86.33623272,Oct,New_Visitor,2,4
5412,98.56%,True,54.56704868,Sep,New_Visitor,4,1
11698,98.55%,True,270.7846931,Nov,New_Visitor,8,1
6706,98.55%,True,75.62994948,Aug,New_Visitor,4,4
7867,98.55%,True,39.6497508,Oct,New_Visitor,2,6
8648,98.55%,True,47.99199256,Nov,New_Visitor,2,4
196,98.55%,True,109.176,Mar,New_Visitor,2,9
7384,98.55%,True,54.20146753,Nov,New_Visitor,2,1
2254,98.54%,True,31.1904,May,New_Visitor,4,1
3491,98.53%,True,53.988,May,New_Visitor,4,1
10400,98.52%,True,57.82473775,Nov,New_Visitor,2,1
10748,98.51%,True,287.9537928,Dec,New_Visitor,2,1
10185,98.50%,True,78.12165404,Dec,Other,20,9
3459,98.43%,True,53.988,May,New_Visitor,2,3
3262,98.43%,True,124.032,May,New_Visitor,5,6
